iter	Passed	Remaining
696	790	343
697	792	342
698	793	341
699	794	340
700	795	339
701	797	338
702	798	337
703	799	336
704	801	335
705	802	334
706	803	332
707	804	332
708	806	330
709	807	329
710	808	328
711	809	327
712	810	326
713	811	325
714	813	324
715	814	323
716	815	321
717	816	320
718	817	319
719	819	318
720	820	317
721	821	316
722	822	315
723	824	314
724	825	313
725	826	311
726	827	310
727	829	309
728	831	308
729	832	307
730	833	306
731	834	305
732	835	304
733	837	303
734	838	302
735	839	301
736	840	300
737	841	298
738	843	297
739	844	296
740	846	295
741	847	294
742	848	293
743	850	292
744	851	291
745	852	290
746	853	289
747	854	287
748	856	286
749	857	285
750	859	284
751	860	283
752	861	282
753	863	281
754	864	280
755	865	279
756	866	278
757	867	277
758	868	275
759	869	274
760	870	273
761	872	272
762	873	271
763	874	270
764	876	269
765	878	268
766	879	267
767	880	265
768	881	264
769	882	263
770	884	262
771	885	261
772	886	260
773	887	259
774	888	257
775	889	256
776	891	255
777	892	254
778	893	253
779	895	252
780	896	251
781	897	250
782	898	249
783	899	247
784	900	246
785	902	245
786	903	244
787	904	243
788	906	242
789	908	241
790	909	240
791	910	239
792	911	238
793	912	236
794	914	235
795	915	234
796	917	233
797	918	232
798	921	231
799	922	230
800	924	229
801	925	228
802	926	227
803	927	226
804	928	224
805	929	223
806	930	222
807	931	221
808	933	220
809	934	219
810	935	218
811	937	217
812	938	215
813	939	214
814	941	213
815	942	212
816	943	211
817	944	210
818	945	208
819	947	207
820	948	206
821	950	205
822	951	204
823	953	203
824	954	202
825	955	201
826	956	200
827	958	199
828	959	197
829	960	196
830	961	195
831	962	194
832	964	193
833	965	192
834	966	191
835	968	190
836	969	188
837	970	187
838	971	186
839	973	185
840	975	184
841	976	183
842	977	182
843	978	180
844	979	179
845	981	178
846	982	177
847	984	176
848	985	175
849	986	174
850	987	172
851	988	171
852	990	170
853	991	169
854	992	168
855	993	167
856	995	166
857	996	164
858	998	163
859	999	162
860	1000	161
861	1001	160
862	1002	159
863	1003	158
864	1005	156
865	1006	155
866	1007	154
867	1009	153
868	1010	152
869	1011	151
870	1012	150
871	1014	148
872	1015	147
873	1016	146
874	1017	145
875	1018	144
876	1019	143
877	1020	141
878	1022	140
879	1022	139
880	1024	138
881	1025	137
882	1027	136
883	1028	134
884	1029	133
885	1030	132
886	1031	131
887	1032	130
888	1033	129
889	1035	127
890	1036	126
891	1037	125
892	1038	124
893	1040	123
894	1041	122
895	1042	121
896	1045	120
897	1046	118
898	1047	117
899	1048	116
900	1049	115
901	1051	114
902	1052	113
903	1054	111
904	1055	110
905	1057	109
906	1058	108
907	1060	107
908	1061	106
909	1063	105
910	1064	104
911	1066	102
912	1067	101
913	1068	100
914	1070	99
915	1071	98
916	1072	97
917	1073	95
918	1075	94
919	1076	93
920	1077	92
921	1078	91
922	1079	90
923	1080	88
924	1081	87
925	1083	86
926	1084	85
927	1086	84
928	1087	83
929	1088	81
930	1089	80
931	1090	79
932	1092	78
933	1093	77
934	1094	76
935	1096	74
936	1098	73
937	1099	72
938	1100	71
939	1101	70
940	1103	69
941	1104	68
942	1105	66
943	1106	65
944	1108	64
945	1109	63
946	1110	62
947	1111	60
948	1112	59
949	1113	58
950	1114	57
951	1116	56
952	1117	55
953	1118	53
954	1120	52
955	1121	51
956	1123	50
957	1124	49
958	1125	48
959	1126	46
960	1127	45
961	1129	44
962	1130	43
963	1132	42
964	1133	41
965	1134	39
966	1135	38
967	1137	37
968	1138	36
969	1139	35
970	1140	34
971	1141	32
972	1142	31
973	1143	30
974	1144	29
975	1146	28
976	1148	27
977	1149	25
978	1150	24
979	1151	23
980	1153	22
981	1154	21
982	1155	19
983	1156	18
984	1157	17
985	1159	16
986	1160	15
987	1161	14
988	1163	12
989	1164	11
990	1165	10
991	1166	9
992	1167	8
993	1168	7
994	1169	5
995	1171	4
996	1171	3
997	1172	2
998	1174	1
999	1176	0
